onset	duration	trial_type	value	sample
148.28666666666666	0.5	nontarget	29	44486
148.28666666666666	0.5	U	22	44486
148.58666666666667	0.5	nontarget	29	44576
148.58666666666667	0.5	A	2	44576
154.59666666666666	0.5	nontarget	29	46379
154.59666666666666	0.5	P	17	46379
154.89333333333335	0.5	target	30	46468
154.89333333333335	0.5	J	11	46468
155.19333333333333	0.5	nontarget	29	46558
155.19333333333333	0.5	K	12	46558
155.49333333333334	0.5	nontarget	29	46648
155.49333333333334	0.5	U	22	46648
155.79333333333332	0.5	nontarget	29	46738
155.79333333333332	0.5	A	2	46738
156.09333333333333	0.5	nontarget	29	46828
156.09333333333333	0.5	R	19	46828
156.39333333333335	0.5	nontarget	29	46918
156.39333333333335	0.5	S	20	46918
156.69333333333333	0.5	nontarget	29	47008
156.69333333333333	0.5	H	9	47008
156.99333333333334	0.5	nontarget	29	47098
156.99333333333334	0.5	M	14	47098
157.29333333333332	0.5	nontarget	29	47188
157.29333333333332	0.5	F	7	47188
163.29666666666665	0.5	nontarget	29	48989
163.29666666666665	0.5	D	5	48989
163.59666666666666	0.5	nontarget	29	49079
163.59666666666666	0.5	F	7	49079
163.89666666666668	0.5	nontarget	29	49169
163.89666666666668	0.5	Y	26	49169
164.19666666666666	0.5	nontarget	29	49259
164.19666666666666	0.5	P	17	49259
164.49333333333334	0.5	nontarget	29	49348
164.49333333333334	0.5	Z	27	49348
164.79333333333332	0.5	nontarget	29	49438
164.79333333333332	0.5	I	10	49438
165.09666666666666	0.5	nontarget	29	49529
165.09666666666666	0.5	S	20	49529
165.39666666666668	0.5	nontarget	29	49619
165.39666666666668	0.5	H	9	49619
165.69333333333333	0.5	nontarget	29	49708
165.69333333333333	0.5	M	14	49708
165.99333333333334	0.5	nontarget	29	49798
165.99333333333334	0.5	V	23	49798
172.00333333333333	0.5	nontarget	29	51601
172.00333333333333	0.5	C	4	51601
172.30333333333334	0.5	nontarget	29	51691
172.30333333333334	0.5	D	5	51691
172.60333333333332	0.5	nontarget	29	51781
172.60333333333332	0.5	<	1	51781
172.90666666666667	0.5	nontarget	29	51872
172.90666666666667	0.5	Q	18	51872
173.20666666666668	0.5	nontarget	29	51962
173.20666666666668	0.5	S	20	51962
173.50666666666666	0.5	nontarget	29	52052
173.50666666666666	0.5	H	9	52052
173.80666666666667	0.5	nontarget	29	52142
173.80666666666667	0.5	E	6	52142
174.10666666666665	0.5	nontarget	29	52232
